id,subcategory_id,category_id,platform,platform_id,title_zh,title_en,description_zh,description_en,thumbnail_url,aspect_ratio,tags,status,track,direction,submitted_date
v014,s026,cat004,youtube,C2tEb7e9beA,香港有機蔬菜種植：本地農場全紀錄,How Hong Kong Organic Vegetables Are Grown Local Farm,香港有機蔬菜種植：本地農場全紀錄,How Hong Kong Organic Vegetables Are Grown Local Farm,https://img.youtube.com/vi/C2tEb7e9beA/hqdefault.jpg,16:9,香港 YouTube,approved,fun,fun,2026-07-11
v015,s029,cat005,youtube,72lOtRl7pGg,香港親職協調員的角色與重要性,Understanding Parenting Coordinators in Hong Kong,香港親職協調員的角色與重要性,Understanding Parenting Coordinators in Hong Kong,https://img.youtube.com/vi/72lOtRl7pGg/hqdefault.jpg,16:9,香港 YouTube,approved,fun,fun,2026-07-10
v016,s030,cat005,youtube,IdRWfYAyP04,香港街頭美食14小時不間斷：食盡全港最強小食,Hong Kong Street Food 14 Hours Nonstop Best Food,香港街頭美食14小時不間斷：食盡全港最強小食,Hong Kong Street Food 14 Hours Nonstop Best Food,https://img.youtube.com/vi/IdRWfYAyP04/hqdefault.jpg,16:9,香港 YouTube 美食,approved,fun,fun,2026-07-09
v017,s034,cat005,youtube,7AuotylYrzg,香港最強餐廳：,Best Restaurant in Hong Kong  Flower Crab,香港最強餐廳：,Best Restaurant in Hong Kong  Flower Crab,https://img.youtube.com/vi/7AuotylYrzg/hqdefault.jpg,16:9,香港 YouTube,approved,fun,fun,2026-07-08
v018,s036,cat006,youtube,modStXPtSig,香港街頭美食：點心天堂+世界最強燒鵝,Hong Kong Street Food Dim Sum Heaven World Best Roast Goose,香港街頭美食：點心天堂+世界最強燒鵝,Hong Kong Street Food Dim Sum Heaven World Best Roast Goose,https://img.youtube.com/vi/modStXPtSig/hqdefault.jpg,16:9,香港 YouTube 美食,approved,learning,learning,2026-07-07
v019,s038,cat006,youtube,lZTKWHiICjE,探索香港獨特城市文化：完整旅行紀錄片,Discover The Unique City Culture Of Hong Kong Documentary,探索香港獨特城市文化：完整旅行紀錄片,Discover The Unique City Culture Of Hong Kong Documentary,https://img.youtube.com/vi/lZTKWHiICjE/hqdefault.jpg,16:9,香港 YouTube,approved,learning,learning,2026-07-06
v020,s040,cat006,youtube,Vgxk1C0_xpg,香港生活實錄：浮華背後的真實故事,Life in Hong Kong Behind the Glitz and Glamour Documentary,香港生活實錄：浮華背後的真實故事,Life in Hong Kong Behind the Glitz and Glamour Documentary,https://img.youtube.com/vi/Vgxk1C0_xpg/hqdefault.jpg,16:9,香港 YouTube,approved,learning,learning,2026-07-05
v021,s043,cat007,youtube,4rCuF4bIb2c,香港風味探索：Lucas Sin帶路食盡全港,Explore Hong Kong Flavours with Lucas Sin,香港風味探索：Lucas Sin帶路食盡全港,Explore Hong Kong Flavours with Lucas Sin,https://img.youtube.com/vi/4rCuF4bIb2c/hqdefault.jpg,16:9,香港 YouTube 美食,approved,fun,fun,2026-07-04
v022,s044,cat007,youtube,kJDehF9Ovig,香港極致燒烤：最Juicy叉燒+米芝蓮燒鵝,Extreme BBQ Hong Kong Juiciest Char Siu Michelin Roast Goose,香港極致燒烤：最Juicy叉燒+米芝蓮燒鵝,Extreme BBQ Hong Kong Juiciest Char Siu Michelin Roast Goose,https://img.youtube.com/vi/kJDehF9Ovig/hqdefault.jpg,16:9,香港 YouTube,approved,fun,fun,2026-07-03
v023,s034,cat005,instagram,B_KbZQjjvFB,港式菠蘿包烘焙教學：外脆內軟秘訣大公開,Hong Kong Pineapple Bun Baking Tutorial,港式菠蘿包烘焙教學：外脆內軟秘訣大公開,Hong Kong Pineapple Bun Baking Tutorial,https://picsum.photos/seed/ighk0/400/711,9:16,香港 IG Reel,approved,fun,fun,2026-06-28
v024,s036,cat006,instagram,CwcgHSsvk7c,香港維港夜景：專業攝影師視角,Hong Kong Victoria Harbour Night View Photography,香港維港夜景：專業攝影師視角,Hong Kong Victoria Harbour Night View Photography,https://picsum.photos/seed/ighk1/400/711,9:16,香港 IG Reel,approved,fun,learning,2026-06-26
v025,s038,cat006,instagram,C0pEJWvRF-2,香港本地手作市集巡禮：PMQ創意市集,Hong Kong Local Handmade Market PMQ Creative Fair,香港本地手作市集巡禮：PMQ創意市集,Hong Kong Local Handmade Market PMQ Creative Fair,https://picsum.photos/seed/ighk2/400/711,9:16,香港 IG Reel,approved,fun,learning,2026-06-24
v026,s040,cat006,instagram,CzCwYANx-9A,香港新娘裙褂造型全攻略,Hong Kong Bride Traditional Kwa Styling Guide,香港新娘裙褂造型全攻略,Hong Kong Bride Traditional Kwa Styling Guide,https://picsum.photos/seed/ighk3/400/711,9:16,香港 IG Reel,approved,fun,learning,2026-06-22
v027,s043,cat007,instagram,Cy5G_jOR_3T,香港抗潮濕夏日妝容教學,Hong Kong Summer Anti Humidity Makeup Tutorial,香港抗潮濕夏日妝容教學,Hong Kong Summer Anti Humidity Makeup Tutorial,https://picsum.photos/seed/ighk4/400/711,9:16,香港 IG Reel,approved,learning,fun,2026-06-20
v028,s044,cat007,instagram,CycBazNxgkS,香港本地有機護膚品實測,Hong Kong Local Organic Skincare Review,香港本地有機護膚品實測,Hong Kong Local Organic Skincare Review,https://picsum.photos/seed/ighk5/400/711,9:16,香港 IG Reel,approved,learning,fun,2026-06-18
v029,s007,cat001,instagram,Cx4Tb5hR3mL,香港男士形象大改造：前後對比,Hong Kong Men Image Makeover Before After,香港男士形象大改造：前後對比,Hong Kong Men Image Makeover Before After,https://picsum.photos/seed/ighk6/400/711,9:16,香港 IG Reel,approved,learning,learning,2026-06-16
v030,s001,cat001,instagram,CwqLiYwRHbg,香港親子週末好去處推介,Hong Kong Parent Child Weekend Recommendations,香港親子週末好去處推介,Hong Kong Parent Child Weekend Recommendations,https://picsum.photos/seed/ighk7/400/711,9:16,香港 IG Reel,approved,learning,learning,2026-06-14
